nome,idade,cidade,renda,telefone
Bruno Silva,29,Betim,2695.33,(31) 91093-0434
Nicolas Nascimento,40,Nova Lima,5450.63,(31) 90609-0840
Bruno Oliveira,50,Nova Lima,4029.51,
Vitória Pereira,65,Belo Horizonte,3340.45,(31) 97211-9197
Tiago Pereira,69,Belo Horizonte,3797.85,(31) 92944-2279
Vitória Souza,56,Contagem,2268.16,(31) 98532-4154
Lucas Almeida,61,Belo Horizonte,2954.37,(31) 94579-5577
Hugo Almeida,59,Betim,2575.4,(31) 98679-9083
Fábio Rodrigues,59,Nova Lima,2934.77,(31) 92517-1993
Bruno Almeida,31,Contagem,2396.37,(31) 95335-5449
Vitória Oliveira,50,Belo Horizonte,2366.3,(31) 97007-9977
Marina Pereira,60,Betim,2652.01,(31) 96416-6949
Otávio Silva,63,Belo Horizonte,2402.03,(31) 97616-3680
Sofia Nascimento,69,Contagem,1532.52,(31) 90332-7139
Rafael Pereira,36,Nova Lima,2668.91,
Gabriela Rodrigues,43,Belo Horizonte,2064.37,(31) 94099-5670
Carla Pereira,29,Betim,1050.4,(31) 96709-1727
Hugo Oliveira,65,Contagem,3244.71,(31) 91948-7302
Carla Silva,53,Contagem,3183.64,(31) 95186-4382
Tiago Oliveira,24,Contagem,2231.87,(31) 91015-5136
Lucas Oliveira,37,Betim,2605.79,(31) 92194-6236
Tiago Rodrigues,49,Betim,1481.18,(31) 96626-8776
Ana Costa,18,Contagem,2485.52,(31) 98648-3738
Rafael Rodrigues,22,Betim,2513.65,(31) 90250-8588
Lucas Almeida,67,Contagem,1032.26,
Ana Silva,54,Betim,2665.02,(31) 97390-7618
Hugo Oliveira,51,Betim,1832.62,(31) 93191-0025
Tiago Silva,57,Nova Lima,3817.82,(31) 96010-2734
Sofia Pereira,52,Contagem,2749.38,(31) 94178-1607
Bruno Costa,36,Belo Horizonte,3882.98,(31) 96236-7160
Carla Rodrigues,68,Belo Horizonte,3519.77,(31) 93660-6041
Hugo Costa,42,Nova Lima,6257.1,(31) 95099-7912
Sofia Silva,70,Nova Lima,4150.96,
Diego Rodrigues,33,Nova Lima,2984.48,(31) 94429-0389
João Oliveira,26,Contagem,2112.37,(31) 90959-2955
Isabela Lima,21,Contagem,2834.72,(31) 97988-4522
Paula Almeida,61,Betim,2012.62,(31) 99811-5380
Otávio Rodrigues,54,Nova Lima,4881.23,(31) 91581-4452
